id,nederlands
1,adem
2,amen
3,aker
4,berm
5,boer
6,brie
7,cola
8,cent
9,clip
10,demo
11,dino
12,duif
13,egel
14,etui
15,erts
16,feit
17,flat
18,fase
19,geel
20,gnoe
21,gist
22,hert
23,huis
24,ibis
25,idem
26,item
27,jury
28,jurk
29,jojo
30,kalm
31,kano
32,kant
33,lens
34,lynx
35,luxe
36,merk
37,mets
38,mauw
39,neon
40,nerd
41,onyx
42,paus
43,peso
44,quad
45,quiz
46,rauw
47,rasp
48,silo
49,slak
50,team
51,tijm
52,uier
53,uren
54,vlam
55,vlas
56,wiel
57,welp
58,yeti
59,zalm
60,zoek
